"Model","Scenario","Region","Variable","Unit","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050"
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Emissions|CO2","Mt CO2/yr",39860.8605,"","","","",29041.9738,19052.5956,12582.2683,7663.1894,3806.8609,940.968
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Emissions|CH4","Mt CH4/yr",361.746,"","","","",298.3439,250.9835,226.507,214.7042,205.7456,196.7483
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Secondary Energy|Electricity|Gas","EJ/yr",24.4087,"","","","",24.4293,20.6463,11.4959,9.2219,6.43,6.4382
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",28.3557,"","","","",46.9516,84.3068,122.1777,149.8089,171.35,187.7093
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy|Gas","EJ/yr",124.65,"","","","",105.0401,90.7125,66.9271,55.1697,45.752,38.0753
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Secondary Energy|Electricity|Biomass","EJ/yr",2.0586,"","","","",2.4877,3.0139,3.6335,4.3259,4.888,5.2312
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Secondary Energy|Electricity","EJ/yr",102.9724,"","","","",107.367,122.195,148.6989,175.9656,196.3547,213.8588
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Secondary Energy|Electricity|Coal","EJ/yr",37.8705,"","","","",24.0141,4.6014,0.4276,0.019,0.014,0.0092
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy|Oil","EJ/yr",178.0371,"","","","",181.3848,180.5784,165.6557,132.4297,102.9292,79.6973
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy","EJ/yr",559.8358,"","","","",499.9644,460.5992,458.0861,452.9942,450.8233,448.8645
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy|Coal","EJ/yr",160.7689,"","","","",94.439,22.0496,6.1317,2.9102,2.8163,2.8955
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy|Non-Biomass Renewables","EJ/yr",28.6877,"","","","",47.9743,89.5984,133.4713,165.8453,191.1967,210.8726
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy|Biomass","EJ/yr",59.6514,"","","","",63.4579,70.122,78.3612,89.0619,100.9449,110.7461
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Secondary Energy","EJ/yr",429.9596,"","","","",399.606,399.7193,411.0407,405.3701,400.3828,395.2877
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Primary Energy|Biomass|Electricity","EJ/yr",5.9661,"","","","",6.9731,8.322,9.8781,11.4012,12.4114,12.8667
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",54648.8181,"","","","",41035.38,29342.346,22087.8681,16852.3128,12833.6495,9749.9427
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Emissions|CO2","Mt CO2/yr",1125.8864,"","","","",793.8625,450.0582,234.5547,69.7792,-13.3664,-56.3428
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Emissions|CH4","Mt CH4/yr",1.2084,"","","","",0.9702,0.8558,0.7975,0.7767,0.7338,0.686
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.2412,"","","","",0.915,0.5811,0.1821,0.0742,0.0498,0.0294
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.8148,"","","","",1.0864,1.6654,2.3586,2.8042,3.0855,3.2579
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy|Gas","EJ/yr",3.9233,"","","","",3.008,2.2452,1.2305,0.7334,0.7367,0.7003
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Secondary Energy|Electricity|Biomass","EJ/yr",0.2159,"","","","",0.2669,0.2746,0.3043,0.3343,0.3378,0.317
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Secondary Energy|Electricity","EJ/yr",3.7973,"","","","",3.3855,3.2696,3.5819,4.0607,4.296,4.3626
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Secondary Energy|Electricity|Coal","EJ/yr",0.9602,"","","","",0.466,0.0806,0.0012,0.001,0.0009,0.0007
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy|Oil","EJ/yr",6.9559,"","","","",6.1411,4.9882,3.8863,2.4616,1.7363,1.2665
"REMIND-MAgPIE 2.1-4.2","NGFS2_Net-Zero 2050","Japan","Primary Energy","EJ/yr",17.1642,"","","","",13.8107,11.1758,10.0523,9.2579,9.231,8.996
