"Model","Scenario","Region","Variable","Unit","2020","2021","2022","2023","2024","2025","2030","2035","2040","2045","2050"
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","World","Secondary Energy","EJ/yr",435.1187,"","","","",442.6584,472.2589,489.9483,495.5778,503.7458,512.6093
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","World","Primary Energy|Biomass|Electricity","EJ/yr",6.0406,"","","","",6.8978,7.5732,7.9427,8.5751,9.4355,10.4069
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",54225.9371,"","","","",42684.4029,33956.9299,27223.9791,22719.4735,18804.6388,14307.3579
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Emissions|CO2","Mt CO2/yr",1133.2612,"","","","",888.9686,638.7056,420.015,257.8931,153.5321,62.1309
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Emissions|CH4","Mt CH4/yr",1.2661,"","","","",0.9927,0.8999,0.8439,0.7912,0.7403,0.6948
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.2484,"","","","",0.953,0.649,0.3427,0.1226,0.1172,0.0972
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.7521,"","","","",1.0834,1.6444,2.2794,2.816,3.3056,3.7326
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy|Gas","EJ/yr",4.1526,"","","","",3.5474,2.8518,2.103,1.2954,1.0185,0.8412
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Secondary Energy|Electricity|Biomass","EJ/yr",0.228,"","","","",0.2888,0.2925,0.2971,0.2996,0.294,0.2786
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Secondary Energy|Electricity","EJ/yr",3.7352,"","","","",3.47,3.5187,3.6861,4.1237,4.6235,5.0207
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Secondary Energy|Electricity|Coal","EJ/yr",0.9438,"","","","",0.4984,0.27,0.0292,0.005,0.0011,0.0007
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy|Oil","EJ/yr",7.6879,"","","","",7.039,6.0077,5.0845,3.9473,2.9169,1.9704
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy","EJ/yr",17.5293,"","","","",15.3828,13.4594,11.9091,10.7013,10.2232,9.8352
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy|Coal","EJ/yr",3.9902,"","","","",2.265,1.0982,0.2984,0.0911,0.0745,0.0622
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.764,"","","","",1.1162,1.7231,2.4116,2.9934,3.5242,4.0011
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy|Biomass","EJ/yr",0.6859,"","","","",0.9861,1.1832,1.313,1.5562,1.8806,2.1927
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Secondary Energy","EJ/yr",12.9079,"","","","",12.0821,11.2966,10.4793,9.4746,8.9211,8.4893
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Primary Energy|Biomass|Electricity","EJ/yr",0.5901,"","","","",0.7371,0.7432,0.7567,0.7607,0.7386,0.6903
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_400f","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1282.5777,"","","","",980.5543,704.7748,476.9701,306.6827,199.8671,105.9421
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Emissions|CO2","Mt CO2/yr",43640.19631508494,"","","","",29518.58439740461,19006.86385583943,13684.82647705072,9828.442297687345,6418.605480044498,3662.119689276919
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Emissions|CH4","Mt CH4/yr",352.2654333729851,"","","","",274.653437782968,227.9781681686965,208.1108848816282,188.9214517003468,169.8670087982872,153.4901829617252
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Secondary Energy|Electricity|Gas","EJ/yr",24.80467568882099,"","","","",19.01837264904145,7.67219146006784,4.002583000632888,5.465357289995353,7.521392738560593,9.343372708684518
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",25.41655525812602,"","","","",62.23305085197913,106.3849301462958,136.8174143736474,162.7463478977909,188.0751708573646,210.5431141023936
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy|Gas","EJ/yr",138.2681035712043,"","","","",116.6522572219774,91.17303271748946,81.5220163738616,80.2415784742183,79.02909253659094,80.05356097099869
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.351527780625109,"","","","",1.198054189879319,1.206622185910972,1.203395794342607,1.397103641369715,1.738233065732749,1.973765038101153
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Secondary Energy|Electricity","EJ/yr",99.4612228345882,"","","","",108.1266110600947,136.4553253150237,166.1248952923701,200.7510600510559,238.9578868693978,277.1387900173505
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Secondary Energy|Electricity|Coal","EJ/yr",35.50554612098522,"","","","",11.97906327579124,3.754807558783629,1.687359476895006,0.6286122167535073,0.1788993402713974,0.1609957069562565
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy|Oil","EJ/yr",185.6215645415869,"","","","",160.2131689434015,131.1917677383524,103.7419370563688,79.6760422542757,58.51250079752052,39.05049034546956
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy","EJ/yr",581.6221798914895,"","","","",496.5754288093981,464.9721456712375,457.8781087229222,464.4811014103529,480.4604010596413,502.9176223044307
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy|Coal","EJ/yr",154.5364723978323,"","","","",69.20496146469505,34.99796830454277,22.10873995804877,14.84933339190633,9.49576548151114,8.178865176598574
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy|Non-Biomass Renewables","EJ/yr",32.24024990723638,"","","","",74.93276969375916,126.0334516630036,162.2348040549271,191.756049431973,220.1811753996621,245.8808931664763
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy|Biomass","EJ/yr",60.4025694,"","","","",61.9325748,63.46321099999999,64.65113595021619,65.9315715514248,70.08190993185966,73.2902779153958
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Secondary Energy","EJ/yr",88.43895485167613,"","","","",77.92531849032113,64.25131273268522,54.4455663987402,45.71311773216755,40.5386016945997,35.63015640355205
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Primary Energy|Biomass|Electricity","EJ/yr",3.217228652208918,"","","","",2.739268462503607,2.562010672825843,2.462724523788576,2.813845153307033,3.524531518488518,3.740449160226706
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR2p","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",56787.82414223887,"","","","",39952.99244012499,28139.18921416609,22251.57879920464,17862.44622005017,13915.7357729726,10682.59362433632
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Emissions|CO2","Mt CO2/yr",44547.864,"","","","",36227.8685,27596.7715,18929.7051,12376.5167,7316.9053,4061.7083
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Emissions|CH4","Mt CH4/yr",411.6572,"","","","",324.0127,282.4678,243.1665,237.5224,218.4446,213.9768
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Secondary Energy|Electricity|Gas","EJ/yr",29.7844,"","","","",33.221,28.9141,21.9744,16.2353,13.0535,11.154
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",28.952,"","","","",45.8186,75.6559,116.3158,161.5984,206.7917,249.4356
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy|Gas","EJ/yr",149.8497,"","","","",150.5734,134.9351,117.8509,106.7783,95.6308,87.9432
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.2114,"","","","",1.3094,1.3025,1.1985,1.0086,0.7464000000000001,0.4856
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Secondary Energy|Electricity","EJ/yr",101.5149,"","","","",111.2281,127.9204,157.2893,197.9317,242.5432,285.2576
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Secondary Energy|Electricity|Coal","EJ/yr",31.1901,"","","","",19.7431,9.2074,2.343,0.3936,0.4242,0.4141
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy|Oil","EJ/yr",190.0369,"","","","",191.6875,191.3207,184.7198,172.8979,157.9806,141.867
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy","EJ/yr",590.0013,"","","","",560.241,534.7382,534.8833,573.5009,620.2162,664.8909
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy|Coal","EJ/yr",149.6362,"","","","",94.004,45.8627,14.1561,6.5118,5.4146,4.7484
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy|Non-Biomass Renewables","EJ/yr",29.4775,"","","","",46.8767,79.8145,128.3782,185.6544,245.0431,303.2483
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy|Biomass","EJ/yr",62.135,"","","","",66.8664,70.5231,74.9734,84.147,96.4786,105.9599
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Primary Energy|Biomass|Electricity","EJ/yr",3.6433,"","","","",3.8665,3.8271,3.4966,2.8956,2.0763,1.2879
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",59296.5551,"","","","",48141.163,38161.1102,28089.0914,21359.9835,15693.8331,12364.4142
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Emissions|CO2","Mt CO2/yr",1232.6357,"","","","",977.0837,753.9955,509.616,332.7893,199.3065,126.5456
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Emissions|CH4","Mt CH4/yr",0.506,"","","","",0.4394,0.3059,0.2692,0.2185,0.188,0.1593
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.8746,"","","","",1.6645,1.3464,0.8826,0.4326,0.1382,0.0435
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.7027,"","","","",1.0094,1.5158,2.1317,2.666,3.023,3.1883
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy|Gas","EJ/yr",5.4717,"","","","",4.987,4.3047,3.3169,2.276,1.4871,1.0813
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Secondary Energy|Electricity|Biomass","EJ/yr",0.0865,"","","","",0.0823,0.075,0.0634,0.0459,0.0241,0.0069
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Secondary Energy|Electricity","EJ/yr",4.2312,"","","","",4.0112,4.027,4.0736,4.4749,5.0119,5.5569
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Secondary Energy|Electricity|Coal","EJ/yr",1.1127,"","","","",0.6837000000000001,0.3504,0.1021,0.036,0.0349,0.0331
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy|Oil","EJ/yr",7.2061,"","","","",6.422999999999999,5.6459,4.9172,4.3532,3.8101,3.3446
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy","EJ/yr",18.4103,"","","","",16.1564,14.5221,13.0468,12.4573,12.1495,12.0329
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy|Coal","EJ/yr",4.1947,"","","","",2.4729,1.3632,0.5952000000000001,0.3874,0.3193,0.285
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.7192000000000001,"","","","",1.0241,1.5586,2.2741,2.9245,3.3549,3.5471
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy|Biomass","EJ/yr",0.6055,"","","","",0.8017000000000001,0.9686,1.1073,1.3217,1.5233,1.6603
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Primary Energy|Biomass|Electricity","EJ/yr",0.1965,"","","","",0.1868,0.1702,0.1437,0.104,0.0542,0.0154
"REMIND-MAgPIE 1.7-3.0","PEP_2C_red_eff","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1258.4081,"","","","",999.1886,770.8384,523.9291,344.9051,210.4454,136.7686
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Emissions|CO2","Mt CO2/yr",44188.269,"","","","",36201.4505,27483.37,18529.0261,11296.4087,4756.8433,-263.6086
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Emissions|CH4","Mt CH4/yr",412.6512,"","","","",324.1038,282.252,243.2879,238.0231,218.7594,213.9997
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Secondary Energy|Electricity|Gas","EJ/yr",29.7844,"","","","",32.8294,27.7662,20.9899,15.4891,11.5828,9.073
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",28.952,"","","","",46.4975,77.8026,119.4497,164.4591,208.3408,249.0936
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy|Gas","EJ/yr",149.8497,"","","","",149.9565,133.0839,117.9491,109.723,98.7841,90.3963
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.2114,"","","","",1.3317,1.5022,1.8845,2.4652,3.0061,3.2875
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Secondary Energy|Electricity","EJ/yr",101.5149,"","","","",111.5204,129.1252,160.2687,201.8323,245.3438,286.128
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Secondary Energy|Electricity|Coal","EJ/yr",31.1901,"","","","",19.7545,9.2921,2.5371,0.6902,0.7454000000000001,0.7213
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy|Oil","EJ/yr",190.0369,"","","","",192.3041,191.5379,182.8855,168.7321,150.4026,129.6099
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy","EJ/yr",590.0013,"","","","",560.6759,535.384,539.5908,584.5556,636.8012,689.4466
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy|Coal","EJ/yr",149.6362,"","","","",93.9921,46.0046,14.9586,7.5226,6.6159,6.01
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy|Non-Biomass Renewables","EJ/yr",29.4775,"","","","",47.6017,82.3406,132.2857,189.2854,246.9084,302.2121
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy|Biomass","EJ/yr",62.135,"","","","",66.62100000000001,70.2734,77.0139,92.2748,115.0642,140.834
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Primary Energy|Biomass|Electricity","EJ/yr",3.6433,"","","","",3.9543,4.5027,5.7075,7.4725,9.0522,9.8372
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",58952.5212,"","","","",48119.9347,38045.9444,27705.277,20324.5168,13209.8032,8152.8615
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Emissions|CO2","Mt CO2/yr",1232.6357,"","","","",976.1968,750.3623,495.6183,314.1203,171.3941,85.4263
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Emissions|CH4","Mt CH4/yr",0.506,"","","","",0.4392,0.3052,0.2689,0.2185,0.1879,0.1592
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Secondary Energy|Electricity|Gas","EJ/yr",1.8746,"","","","",1.6413,1.3143,0.8486,0.4269,0.1487,0.0759
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",0.7027,"","","","",1.0153,1.5244,2.1108,2.5964,2.8873,3.009
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy|Gas","EJ/yr",5.4717,"","","","",4.9479,4.2526,3.2533,2.2558,1.5115,1.1563
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Secondary Energy|Electricity|Biomass","EJ/yr",0.0865,"","","","",0.0823,0.0758,0.0663,0.0502,0.0283,0.0111
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Secondary Energy|Electricity","EJ/yr",4.2312,"","","","",4.0073,4.0654,4.1739,4.6242,5.1011,5.604
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Secondary Energy|Electricity|Coal","EJ/yr",1.1127,"","","","",0.6996,0.4333,0.3176,0.3824,0.4289,0.4217
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy|Oil","EJ/yr",7.2061,"","","","",6.4422,5.6678,4.8954,4.2669,3.6488,3.1451
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy","EJ/yr",18.4103,"","","","",16.1747,14.679,13.4638,13.1428,12.9036,12.9081
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy|Coal","EJ/yr",4.1947,"","","","",2.5183,1.5792,1.1736,1.3154,1.3764,1.3159
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy|Non-Biomass Renewables","EJ/yr",0.7192000000000001,"","","","",1.031,1.5684,2.2431,2.823,3.1697,3.3085
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy|Biomass","EJ/yr",0.6055,"","","","",0.7899,0.9515,1.1268,1.4169,1.7297,2.0686
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Primary Energy|Biomass|Electricity","EJ/yr",0.1965,"","","","",0.1868,0.1728,0.1531,0.1175,0.0677,0.0288
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_eff","Japan","Emissions|Kyoto Gases","Mt CO2-equiv/yr",1258.4081,"","","","",998.2998,767.2878,510.2474,326.8301,183.2895,96.5374
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Emissions|CO2","Mt CO2/yr",43669.03982408332,"","","","",29779.39987524147,19370.36110415823,13788.79343566676,9928.521382981213,6383.55433589415,3524.90769428927
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Emissions|CH4","Mt CH4/yr",351.7284862874171,"","","","",271.5771466903564,228.096450496679,207.2649224240083,187.9883669773556,168.5683721711812,151.9377946366986
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Secondary Energy|Electricity|Gas","EJ/yr",25.937116481979,"","","","",20.14367804612561,10.3310109852065,4.880655887570764,6.804158302501157,8.805615433961371,10.34368613668378
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",25.09449557635186,"","","","",60.93101935296444,102.0330813825176,134.8315614416785,160.2051397808358,186.97886414257,212.5613507509648
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy|Gas","EJ/yr",142.1330591393018,"","","","",120.4236984371726,95.74466463370617,82.378962052475,82.71516355075583,81.15187282170164,80.14612923867065
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.387135561277915,"","","","",1.21348306397563,1.231596646717285,1.257546142698754,1.548969579140013,2.045815182040781,2.451437428401998
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Secondary Energy|Electricity","EJ/yr",99.34813079595264,"","","","",107.4636996888941,133.8648288725268,163.6490848989522,197.26925408975,235.9285445732719,275.7455651616439
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Secondary Energy|Electricity|Coal","EJ/yr",34.97538067493206,"","","","",11.85979518639348,3.873656659443601,1.807293390005907,0.673203835022651,0.2836914494703907,0.15484199668134
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy|Oil","EJ/yr",187.5056366330249,"","","","",162.668894891831,133.3978905631047,105.9786061688842,81.7464966378206,59.36790780522554,39.06947571754812
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy","EJ/yr",583.0052292388729,"","","","",499.4354644193938,465.4924394101684,456.6814527553041,463.5888858962151,478.6537247473765,500.6794401848998
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy|Coal","EJ/yr",150.9950066377691,"","","","",67.82244968799418,34.12057259476432,21.39139899409035,14.59862380072402,9.28792887311615,7.871179662852747
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy|Non-Biomass Renewables","EJ/yr",31.89995358120794,"","","","",73.60576483383947,121.6413982757994,160.1345158708822,188.9794385095051,218.6453950642053,247.2794600780226
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy|Biomass","EJ/yr",60.4025694,"","","","",62.01374782739613,63.58881994081148,64.78007401663992,66.06049538715249,70.75611816177027,74.79054582298771
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Secondary Energy","EJ/yr",86.62527856950405,"","","","",76.55028148910456,63.44361557772386,53.92104208236896,45.50208532259379,40.28605968014094,34.68456255998051
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Primary Energy|Biomass|Electricity","EJ/yr",3.316503407918197,"","","","",2.781992432634368,2.626221504800886,2.542810966017147,3.097404989762377,4.050202285706747,4.536255890166254
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR3p","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",56805.97763963654,"","","","",40133.98261458825,28497.94688771232,22324.95440208715,17926.72354975213,13836.18637313136,10488.9514681714
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Emissions|CO2","Mt CO2/yr",43966.41985109601,"","","","",26347.12457419957,14236.61751170268,8755.787225062131,4584.38881107895,1825.602222674721,-0.2605754351078531
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Emissions|CH4","Mt CH4/yr",352.1817252172899,"","","","",259.4628506627988,208.3330467191209,185.8665837124293,165.0640958694057,146.4975165249247,132.5693730339427
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Secondary Energy|Electricity|Gas","EJ/yr",26.91431562430716,"","","","",16.16891083499752,3.748004912864845,2.754816609834478,2.655871776288897,2.686169588659182,2.786770202222559
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Secondary Energy|Electricity|Non-Biomass Renewables","EJ/yr",23.82730745895464,"","","","",63.18723799342255,112.0890690820039,140.5485574249347,167.4755305148544,193.5220877214118,220.7446293398764
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy|Gas","EJ/yr",144.7066198309736,"","","","",105.38201756267,73.72976620123644,57.91289542148952,44.88735858699103,35.3894754299913,36.92648555388342
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Secondary Energy|Electricity|Biomass","EJ/yr",1.554275453775553,"","","","",2.32712988252464,2.073150000540585,2.742680943258806,3.023344912228418,4.011470679166455,3.669660920116994
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Secondary Energy|Electricity","EJ/yr",99.61156308014652,"","","","",105.3229229938873,135.7847797588278,167.4113532032771,199.10868953316,232.3090913889405,268.5668792070164
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Secondary Energy|Electricity|Coal","EJ/yr",34.96309573290058,"","","","",10.56335248327779,1.838325203714714,1.237688094300849,0.4575269107788663,0.1056448542037515,0.0997143349288416
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy|Oil","EJ/yr",190.8707758755215,"","","","",141.5310169502063,98.79716187344113,68.60798638335618,45.67002107995192,30.26119441532035,18.81789758020741
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy","EJ/yr",586.593252096031,"","","","",470.3411848866561,431.9651432327692,424.6299052867222,427.4459505867144,440.1471701884493,469.1235247276099
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy|Coal","EJ/yr",150.0141954844539,"","","","",62.05905120173729,28.93466857178933,19.02363838032764,11.94809925856558,7.291179328825439,5.114796575227827
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy|Non-Biomass Renewables","EJ/yr",30.64208347387913,"","","","",75.7787856676442,130.5070482211532,162.8527871910005,191.9712940509586,220.8847357418298,251.045649789118
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy|Biomass","EJ/yr",60.4025694,"","","","",72.85711845926056,83.35889100782802,95.28740938598165,106.5868951453466,113.0718960340414,113.9475531468352
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Secondary Energy","EJ/yr",85.70623493353345,"","","","",70.68701649424506,56.10906292731473,44.15851406675532,35.14225653354223,28.21799851332038,24.16787602199985
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Primary Energy|Biomass|Electricity","EJ/yr",3.878240424311265,"","","","",4.808399071262518,2.553439788911365,3.347494581571709,3.954537948655192,6.36897180972002,5.880259885671541
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450","World","Emissions|Kyoto Gases","Mt CO2-equiv/yr",57115.70663817717,"","","","",36267.47510708222,22652.51656968362,16497.64243513277,11726.75104555924,8400.867736234835,6164.963573374291
"GCAM 5.3","R_MAC_35_n8","World","Emissions|CO2","Mt CO2/yr",39923.6696938546,"","","","",23076.7133687776,7538.38733388826,-8000.00316850689,-8000.00496813459,-8000.00055849614,-8000.00258752027
"GCAM 5.3","R_MAC_35_n8","World","Emissions|CH4","Mt CH4/yr",338.62602228113,"","","","",274.003700322967,257.528219464571,237.541324285162,246.07828258004,250.576423526985,254.869933664265
"GCAM 5.3","R_MAC_35_n8","World","Secondary Energy|Electricity|Gas","EJ/yr",21.5015780634,"","","","",27.7741080237,35.07943901845,40.7041172991619,45.7857795601339,50.6321951574297,54.7298179858277
